,act,ap,awards,comments,country,courseload,decision,essay,ethnicity,extracurriculars,gender,gpa,hooks,ib,income,interview,jobexp,otherschools,rank,sat1,sat2,schooltype,state,strengths,summer,volunteer,weaknesses,whydecision
31,0,"[5, 5, 5, 5, 4, 4]","Winners: Thai national youth writing contest, Salutatorian, Winners: Tourism Challenge Asia-Pacific International Trade Challenge Online, Thai National Youth Chess Champion, School Athlete of the Year, FedEx Access Junior Achievement Company Program Asia-Pacific",,Thailand,"rigid Thai schedule, dont bother to post",A,stellar,asian,"Junior National Chess Team (Captain), School Chess Team (Captain): 4-times consecutive national champion, School newspaper (Founder/Editor-in-chief), Student Company (Founder/President), Alternate Autism Therapy (Inventor), Junior ROTC (student lieutenant), Foreign Exchange Student (to Colorado- from Thailand), Knowledge Bowl State Champions (during Student exchange spell), Ballroom Dancing Club (Founder/during student exchange spell)",M,3.93,"no hooks, unless you count autistic brother and family who took refuge after Chinas communist takeover and the Khmer Rouge",0,0,"pretty good, skype chat with admissions officer",Boonark Accounting Company,"Princeton, Berkeley, UCLA, UC Davis, UC Irvine, Duke, Babson",0.0,2210,"[800, 800, 800, 780, 750]",Public,,ECs,"chess, autism therapy","Autism Therapy Research, Autism therapist at national autism foundation","Critical Reading on the SAT, no kings scholarship (often a symbolic status for top tier thai students)",I told my story well?
32,0,"[5, 5, 5, 5, 5, 4]","National Merit Scholar, USA Biology Olympiad (semi-finalist), Bausch + Lomb Medal, and several other regional/school awards",,n/a,"AP Physics, AP Calculus BC, AP Economics, Advanced French Literature, AP English: Literature and Composition",R,Common app was good; supplement was not good at all,caucasian,"Tennis (varsity since 10th grade), swim team, tutor co-chair of NHS, Chem Club, Chem 4 Kids, news editor/staff-writer for school newspaper, art classes, Russian language/literature lessons, member of Jewish Student Union, USY (board member of synagogues USY)",F,3.96,none,0,180000,It was reasonable--not great though,"Assistant gymnastics coach at the CT Rhythmic Gymnastics Academy (only this year), JCC day care counselor","Rejected - Princeton; Waitlisted - Yale, Penn, Johns Hopkins, Columbia; Accepted - Cornell, Tufts, Brandeis, University of Rochester, UConn",0.0,2340,"[800, 800, 780, 780, 770]",Public,CT,"Scores, maybe essays","Camp until 10th grade, Genesis at Brandeis University in 2010, volunteered at hospital 2011","Summer volunteering at local hospital, volunteer gymnastics coach (8th grade-11th grade)",Extracurriculars,Guess I wasn't strong enough in a pool of really strong applicants (to paraphrase the rejection email...)
33,0,"[5, 4, 4]","National Merit Commended Scholar, several University Interscholastic League Awards (i.e. district and regional champion and fourth place state)",,,"AP Stat, AP Lit, AP Chemistry, French III, CC Gov and Econ, Art III",A,They were good.,caucasian,"NHS (President), Art Club, UIL Ready Writing and Spelling for ten years",F,4.0,None,0,150000,"Really, really great",Self-Owned Photography Business,"Accepted-NYU, USF, UNC@CH, The King's College Waitlisted-UChicago, Brown Rejected-Duke, Columbia",0.010152284264,2210,"[750, 740, 710]",Public,TX,"Interview, essays, and recs","Duke TIP four summers, Summer@Brown Junior Summer",Tutor for college and middle school students for several years,Scores,
34,33,"[4, 4, 4, 4, 5, 5]",National Merit Finalist,"Sad <span class=""Emoticon Emoticon2""><span>:(</span></span>",,"Honors Physics, PE, Honors World Mythology, Honors US Govt, AP Spanish, AP Biology, AP Statistics",R,Thought they were good but apparently not lol,asian,,F,4.0,,0,100000,,,,0.00406504065041,2320,"[760, 750, 730]",Public,Illinois,,,See ECs,,
35,32,"[3, 4]","Um, merit commended and that's it...",,,"Physics, AP Bio, AP Calc, AP English lit, Govt &amp; Economics (required in NYS) (Also, not many APs at my school)",W,,,,,4.0,,0,0,,,,0.0,2250,"[770, 700]",,,,,,,
36,0,[5],NMF,,,"AP Calculus BC, AP Physics C, AP Biology, AP English, AP Psychology, AP European History, linguistics independent study",W,"Very good – Common App essay was enthusiastic and engaging, supplemental essay was unique and reflective.",caucasian,"Math Team (co-captain), iGEM (co-founder, co-president), piano, trumpet, FTC robotics, Hebrew high school",F,3.87,none,0,0,,physics internship at local college,"Accepted: UChicago, Brown.  Rejected: Yale, MIT",0.0,2320,"[800, 800, 800]",public,MA,essays,"SSEP, SciTech",,"no spectacular ECs/awards, math grades","My essays were good, but my awards/ECs were nothing stellar.  I simply didn’t stand out enough in such a ridiculously competitive applicant pool.  Frankly, I’m pleased I got waitlisted instead of straight-up rejected!"
37,0,0,"First in Visual Arts subject in country in 2010, lots of other small maths/science awards... came first in the country in Computing in 9th grade as well but that was ages ago haha, hardly counts.",I cannot believe this is happening. Oh my gosh I am going to Harvard. EVERYONE IS GOING CRAZY IN MY HOUSE,New Zealand,"Regular English, French, Painting, Physics, Chemistry + Honors English, Painting, Physics, Chemistry, Calculus, Geography, Art History + First year maths paper at local university",A,"Honestly I didn't think I was going to get into Harvard, I did not take my supplement as seriously but perhaps that made my voice shine through because I wasn't trying to sound impressive. I made a list of my favourite books/movies/blogs/artists and artworks and explained my likes and dislikes haha.",asian,"Visual Arts (Committee Leader), Club &amp; School Badminton (team captain x3 years), Dragon Boating, Piano 8 years",F,0,-,0,100000,"Met with a recent graduate in a cafe, he was really down to earth and it was the most intense interview ever, we discussed everything from film to art history to life at Harvard. He asked me to bring my SAT marks and school grades, and I decided to bring my art portfolio as well. The whole thing was 2 hours but it flew by; I really enjoyed my interview.",Family laundromat worker,"Accepted to UChicago, Cornell, UCLA and UPenn. Waitlisted at Northwestern. Rejected to Princeton and MIT",0.0,2290,"[800, 780]",Private Girls,-,"I think what did it was the art portfolio they requested in January after seeing my art referenced so much in my application but I didn't bother to include it originally cos they wanted 35mm slides, but they emailed me asking for it and said it was ok in digital format so I submitted my website. You can see it at <a href=""http://www.seven-u.net"" rel=""nofollow"">Winnie Wu - Portfolio Site</a> if you want haha","Went on a 2 month school exchange to Parissss <span class=""Emoticon Emoticon1""><span>:)</span></span>","Various charity volunteer work, trained by JP for peer mediation",Other than that I think my application was pretty mediocre in terms of other applicants,^ see strengths
38,34,"[5, 5, 5, 5]","NMF, Order of the rising Son, ap scholar with distinction, homecoming king? haha idk, i put it!",,'Merica!,"bio 2 ap, english 4 ap, calc bc ap, peer assisted leadership, macroeconomics ap, government ap, music theory ap, football, swimming",W,i felt they were pretty strong,caucasian,"varsity swimming 4 years (captain) Varsity football 4 years, FCA (VP) Spanish national honor society (vp), Student council (executive secretary), Founder of Cap's T-shirts, which grossed about $3000 this last year, piano performances and concerts, Key club, National honor society, PALs, Young Life (leader), Campaigners",M,4.0,"flashed 'em my abs <span class=""Emoticon Emoticon3""><span>;)</span></span> just kidding, i wish i had a hook",0,120000,"went really well I thought, the guy seemed to like me!","Lifeguard, summer camp counselor, manager",,0.00411522633745,2180,"[770, 750, 710]",Public (3500 total students),TX,probably extra curriculars and essays,"trip to europe throughout italy greece and turkey, worked as a counselor at a camp, volunteered at a work crew for a camp",something like 500 hours total,"I'm white without any other hooks <span class=""Emoticon Emoticon2""><span>:(</span></span> and sat also i'd say","not really sure, probably my interview honestly, i cant think of any other reason!"
39,0,"[5, 5, 4, 4, 5]","Governor's Scholar, National Merit Finalist, Comcast Leaders &amp; Achievers, Scholastic Art and Writing Silver Key, National Latin Exam Summa Cum Laude/Gold Medal (3x), a few other local writing awards",,,"Religion classes, AP Politics, AP Physics B, AP English Lit, AP Calc AB, H Bio, H Visual Basic, H Western Civ",A,"Common App was a little abstract, fairly personal, not sure how admissions officers would've responded to it; my Harvard supp was excellent, very long (950 words, ftw!), and very reflective of me as a student and individual.",asian,"Debate 9th-12th grade (captain), Envirothon 10-12 (captain), school service society 9-12 (VP), NHS 10-12 (VP); The first 3 are the ones I have dedicated myself to in school over the years, it would take a while to describe the things I do in each of them, but I am very active in these ECs.",M,4.0,none,0,0,"excellent, we just hit it off right away and had a great conversation, would've easily gone much longer but she had to go","none, applied for some jobs, didn't get them &gt;.&lt;","UPenn (Wharton) accept, Dartmouth likely letter, Swarthmore early write acceptance, Northwestern accept, Duke accept, UChicago waitlist, Yale reject, Williams waitlist, Stanford reject, thus far.",0.0045871559633,2400,"[800, 800, 800]",Catholic,CT,"objective stats, interview, essay","volunteering at food pantry, camp CIT, etc.","worked with a non-profit in New Orleans rebuilding houses, volunteer at food pantry, tutor at local middle school, volunteer for local state representative, and the school service society could be considered community service (we run monthly schoolwide food drives that go to the aforementioned food pantry)","none in particular, overall solid app, but no superstar awards/recognitions or anything","essay, objective stats, interview, in that order."
40,35,"[5, 5, 5, 5, 5, 5, 4, 5, 5, 5]","AMC12: 106.5, AIME 3 (I was sick that day <span class=""Emoticon Emoticon10""><span>:P</span></span>), National Merit Semifinalist, National AP Scholar, some state Science Olympiad and math awards","I have wanted to go to MIT my entire life and I got into MIT so I'm not beat up over this at all!  Even better, I can be one of those people that hacks stuff on the Harvard campus <span class=""Emoticon Emoticon3""><span>;)</span></span>  Congrats to everyone that got in.  And to those that didn't, well, neither did Warren Buffet.",,"AP Psychology, AP Economics, Multivariable Calculus, P.E., AP Computer Science, AP English Literature and Composition",R,"Common App main essay was mediocre, and for the supplement I just reused my UChicago essay....",caucasian,"Athletics (not revealing my sport to protect my anonymity) (captain, 4 years varsity, lots of awards and such), Math Team (co-captain, 4 years, individual regional champion, top 10 in the state multiple times), Math (ARML, various other math endeavors outside of school), Science Olympiad (I won a few medals at state but I put more effort into math team), Art (Self-taught, no awards or anything notable)",F,3.76,None,0,0,Horrible!  Worst interview ever.  The lady was so mean and the whole thing lasted about 20 minutes.,Work at a sports camp/Self-employed as a math tutor,"Accepted at Michigan, Chicago, and MIT.  Rejected at Yale and Harvard.",0.0,2300,"[800, 800, 780]",Large suburban public,Somewhere between California and New York,Test scores,"Work, summer school, sports",Volunteer math tutoring,Grades,I can't throw a football and I don't have a unique story.  I'm just an upper-middle class suburban kid with decent grades and high test scores.
